workload,backend,single_batch_size,mixed_batch_size,seq_len,num_heads,num_kv_heads,head_dim,dtype,bitwise_equal,max_abs_diff,mean_abs_diff,status,reason
prefill,eager,1,8,128,8,4,60,torch.float16,True,0.0,0.0,ok,
prefill,sdpa,1,8,128,8,4,60,torch.float16,True,0.0,0.0,ok,
prefill,flash_attn_2,1,8,128,8,4,60,torch.float16,True,0.0,0.0,ok,
prefill,flash_attn_2_bi,1,8,128,8,4,60,torch.float16,True,0.0,0.0,ok,
decode,eager,1,8,128,8,4,60,torch.float16,True,0.0,0.0,ok,
decode,sdpa,1,8,128,8,4,60,torch.float16,True,0.0,0.0,ok,
decode,flash_attn_2,1,8,128,8,4,60,torch.float16,True,0.0,0.0,ok,
decode,flash_attn_2_bi,1,8,128,8,4,60,torch.float16,True,0.0,0.0,ok,
prefill,eager,1,8,256,8,4,60,torch.float16,True,0.0,0.0,ok,
prefill,sdpa,1,8,256,8,4,60,torch.float16,True,0.0,0.0,ok,
prefill,flash_attn_2,1,8,256,8,4,60,torch.float16,True,0.0,0.0,ok,
prefill,flash_attn_2_bi,1,8,256,8,4,60,torch.float16,True,0.0,0.0,ok,
decode,eager,1,8,256,8,4,60,torch.float16,True,0.0,0.0,ok,
decode,sdpa,1,8,256,8,4,60,torch.float16,True,0.0,0.0,ok,
decode,flash_attn_2,1,8,256,8,4,60,torch.float16,True,0.0,0.0,ok,
decode,flash_attn_2_bi,1,8,256,8,4,60,torch.float16,True,0.0,0.0,ok,
prefill,eager,1,8,512,8,4,60,torch.float16,True,0.0,0.0,ok,
prefill,sdpa,1,8,512,8,4,60,torch.float16,True,0.0,0.0,ok,
prefill,flash_attn_2,1,8,512,8,4,60,torch.float16,True,0.0,0.0,ok,
prefill,flash_attn_2_bi,1,8,512,8,4,60,torch.float16,True,0.0,0.0,ok,
decode,eager,1,8,512,8,4,60,torch.float16,False,0.0001220703125,1.3913960401623626e-06,ok,
decode,sdpa,1,8,512,8,4,60,torch.float16,False,0.0001220703125,6.829947778896894e-06,ok,
decode,flash_attn_2,1,8,512,8,4,60,torch.float16,False,0.0001220703125,6.766369097022107e-06,ok,
decode,flash_attn_2_bi,1,8,512,8,4,60,torch.float16,True,0.0,0.0,ok,
