dtype,method,repeat,size,block_size,input_scale,scaled_result,result,fp64_reference,reference_basis,absolute_error,relative_error,elapsed_ms,status,reason
float16,forward,1,4096,,0.0067644241528043705,1872.0,276741.9602485916,277733.5867341268,dtype_quantized_input,991.6264855351765,0.0035704233585708033,3.1015419954201207,ok,
float16,forward,2,4096,,0.0067644241528043705,1872.0,276741.9602485916,277733.5867341268,dtype_quantized_input,991.6264855351765,0.0035704233585708033,3.2127499871421605,ok,
float16,forward,3,4096,,0.0067644241528043705,1872.0,276741.9602485916,277733.5867341268,dtype_quantized_input,991.6264855351765,0.0035704233585708033,2.871875010896474,ok,
float16,forward,4,4096,,0.0067644241528043705,1872.0,276741.9602485916,277733.5867341268,dtype_quantized_input,991.6264855351765,0.0035704233585708033,3.0252919968916103,ok,
float16,forward,5,4096,,0.0067644241528043705,1872.0,276741.9602485916,277733.5867341268,dtype_quantized_input,991.6264855351765,0.0035704233585708033,2.8921670018462464,ok,
float16,forward,6,4096,,0.0067644241528043705,1872.0,276741.9602485916,277733.5867341268,dtype_quantized_input,991.6264855351765,0.0035704233585708033,2.9169170011300594,ok,
float16,forward,7,4096,,0.0067644241528043705,1872.0,276741.9602485916,277733.5867341268,dtype_quantized_input,991.6264855351765,0.0035704233585708033,2.9712499963352457,ok,
float16,forward,8,4096,,0.0067644241528043705,1872.0,276741.9602485916,277733.5867341268,dtype_quantized_input,991.6264855351765,0.0035704233585708033,3.0079580028541386,ok,
float16,forward,9,4096,,0.0067644241528043705,1872.0,276741.9602485916,277733.5867341268,dtype_quantized_input,991.6264855351765,0.0035704233585708033,2.897041995311156,ok,
float16,forward,10,4096,,0.0067644241528043705,1872.0,276741.9602485916,277733.5867341268,dtype_quantized_input,991.6264855351765,0.0035704233585708033,2.985041995998472,ok,
float16,reverse,1,4096,,0.0067644241528043705,1876.0,277333.2892234817,277733.5867341268,dtype_quantized_input,400.29751064506127,0.0014413003315593385,2.992458001244813,ok,
float16,reverse,2,4096,,0.0067644241528043705,1876.0,277333.2892234817,277733.5867341268,dtype_quantized_input,400.29751064506127,0.0014413003315593385,2.8372090018820018,ok,
float16,reverse,3,4096,,0.0067644241528043705,1876.0,277333.2892234817,277733.5867341268,dtype_quantized_input,400.29751064506127,0.0014413003315593385,2.903707994846627,ok,
float16,reverse,4,4096,,0.0067644241528043705,1876.0,277333.2892234817,277733.5867341268,dtype_quantized_input,400.29751064506127,0.0014413003315593385,2.816249994793907,ok,
float16,reverse,5,4096,,0.0067644241528043705,1876.0,277333.2892234817,277733.5867341268,dtype_quantized_input,400.29751064506127,0.0014413003315593385,2.9820000054314733,ok,
float16,reverse,6,4096,,0.0067644241528043705,1876.0,277333.2892234817,277733.5867341268,dtype_quantized_input,400.29751064506127,0.0014413003315593385,14.505250001093373,ok,
float16,reverse,7,4096,,0.0067644241528043705,1876.0,277333.2892234817,277733.5867341268,dtype_quantized_input,400.29751064506127,0.0014413003315593385,3.1392090022563934,ok,
float16,reverse,8,4096,,0.0067644241528043705,1876.0,277333.2892234817,277733.5867341268,dtype_quantized_input,400.29751064506127,0.0014413003315593385,3.025209007319063,ok,
float16,reverse,9,4096,,0.0067644241528043705,1876.0,277333.2892234817,277733.5867341268,dtype_quantized_input,400.29751064506127,0.0014413003315593385,2.8967919934075326,ok,
float16,reverse,10,4096,,0.0067644241528043705,1876.0,277333.2892234817,277733.5867341268,dtype_quantized_input,400.29751064506127,0.0014413003315593385,2.8615420014830306,ok,
float16,blocked,1,4096,128,0.0067644241528043705,1879.0,277776.7859546494,277733.5867341268,dtype_quantized_input,43.1992205225979,0.0001555419386995219,3.1957080063875765,ok,
float16,blocked,2,4096,128,0.0067644241528043705,1879.0,277776.7859546494,277733.5867341268,dtype_quantized_input,43.1992205225979,0.0001555419386995219,3.156250008032657,ok,
float16,blocked,3,4096,128,0.0067644241528043705,1879.0,277776.7859546494,277733.5867341268,dtype_quantized_input,43.1992205225979,0.0001555419386995219,3.1424170010723174,ok,
float16,blocked,4,4096,128,0.0067644241528043705,1879.0,277776.7859546494,277733.5867341268,dtype_quantized_input,43.1992205225979,0.0001555419386995219,3.1434589909622446,ok,
